"MonitoringLocationIdentifier","AnalysisStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode","LongitudeMeasure","LatitudeMeasure","airport"
"21ARIZ_WQX-66448",2007-03-01,"1,4-Dioxane",2.9,"ug/L",-110.9323497,32.0971956,TRUE
"21ARIZ_WQX-66448",2006-02-20,"1,4-Dioxane",3.4,"ug/L",-110.9323497,32.0971956,TRUE
"21ARIZ_WQX-66450",2007-02-14,"1,4-Dioxane",0.09,"ug/L",-110.936125,32.0923975,TRUE
"21ARIZ_WQX-66450",2006-02-07,"1,4-Dioxane",1,"ug/L",-110.936125,32.0923975,TRUE
"21ARIZ_WQX-66450",2005-02-14,"1,4-Dioxane",1,"ug/L",-110.936125,32.0923975,TRUE
"21ARIZ_WQX-66460",2006-02-07,"1,4-Dioxane",1,"ug/L",-110.9505767,32.0975803,TRUE
"21ARIZ_WQX-66460",2005-02-25,"1,4-Dioxane",1,"ug/L",-110.9505767,32.0975803,TRUE
"21ARIZ_WQX-66460",2007-02-14,"1,4-Dioxane",0.09,"ug/L",-110.9505767,32.0975803,TRUE
"21ARIZ_WQX-66465",2005-02-25,"1,4-Dioxane",1,"ug/L",-110.9324358,32.1012117,TRUE
"21ARIZ_WQX-66465",2007-03-01,"1,4-Dioxane",1.3,"ug/L",-110.9324358,32.1012117,TRUE
"21ARIZ_WQX-66465",2006-02-07,"1,4-Dioxane",2,"ug/L",-110.9324358,32.1012117,TRUE
"21ARIZ_WQX-66476",2007-02-28,"1,4-Dioxane",2.6,"ug/L",-110.9410825,32.1055389,TRUE
"21ARIZ_WQX-66476",2007-06-04,"1,4-Dioxane",3.5,"ug/L",-110.9410825,32.1055389,TRUE
"21ARIZ_WQX-66477",2006-02-17,"1,4-Dioxane",8.5,"ug/L",-110.9476736,32.1107644,TRUE
"21ARIZ_WQX-66477",2007-06-18,"1,4-Dioxane",6,"ug/L",-110.9476736,32.1107644,TRUE
"21ARIZ_WQX-66477",2005-02-14,"1,4-Dioxane",6.4,"ug/L",-110.9476736,32.1107644,TRUE
"21ARIZ_WQX-66478",2007-02-14,"1,4-Dioxane",2.3,"ug/L",-110.9531861,32.1094428,TRUE
"21ARIZ_WQX-66481",2005-02-14,"1,4-Dioxane",6,"ug/L",-110.9544881,32.1179942,TRUE
"21ARIZ_WQX-66481",2007-08-27,"1,4-Dioxane",3.2,"ug/L",-110.9544881,32.1179942,TRUE
"21ARIZ_WQX-66481",2006-02-10,"1,4-Dioxane",3.8,"ug/L",-110.9544881,32.1179942,TRUE
"21ARIZ_WQX-66481",2007-05-31,"1,4-Dioxane",4,"ug/L",-110.9544881,32.1179942,TRUE
"21ARIZ_WQX-66481",2006-02-18,"1,4-Dioxane",5.4,"ug/L",-110.9544881,32.1179942,TRUE
"21ARIZ_WQX-66482",2006-02-24,"1,4-Dioxane",9.9,"ug/L",-110.9633281,32.1192044,FALSE
"21ARIZ_WQX-66482",2007-06-19,"1,4-Dioxane",4.5,"ug/L",-110.9633281,32.1192044,FALSE
"21ARIZ_WQX-66482",2006-02-24,"1,4-Dioxane",11,"ug/L",-110.9633281,32.1192044,FALSE
"21ARIZ_WQX-66482",2007-08-27,"1,4-Dioxane",5.9,"ug/L",-110.9633281,32.1192044,FALSE
"21ARIZ_WQX-66482",2005-02-18,"1,4-Dioxane",12,"ug/L",-110.9633281,32.1192044,FALSE
"21ARIZ_WQX-66483",2005-02-18,"1,4-Dioxane",5.3,"ug/L",-110.9692889,32.1150958,FALSE
"21ARIZ_WQX-66483",2006-02-23,"1,4-Dioxane",2.5,"ug/L",-110.9692889,32.1150958,FALSE
"21ARIZ_WQX-66483",2007-03-13,"1,4-Dioxane",1.6,"ug/L",-110.9692889,32.1150958,FALSE
"21ARIZ_WQX-66484",2006-02-23,"1,4-Dioxane",1,"ug/L",-110.9704164,32.1078039,FALSE
